StartDate.StartDate,EndDate.EndDate,Status.ResponseType,IPAddress.IPAddress,Progress.Progress,Duration(inseconds).Duration(inseconds),Finished.Finished,RecordedDate.RecordedDate,ResponseId.ResponseID,RecipientLastName.RecipientLastName,RecipientFirstName.RecipientFirstName,RecipientEmail.RecipientEmail,ExternalReference.ExternalDataReference,LocationLatitude.LocationLatitude,LocationLongitude.LocationLongitude,DistributionChannel.DistributionChannel,selected_overall.HowMALEorFEMALEdoesthispersonlook?,unselected_overall.HowMALEorFEMALEdoesthispersonlook?,selected_overall.HowmuchofaWHITEAMERICANorAFRICANAMERICANdoesthispersonlooklike?,unselected_overall.HowmuchofaWHITEAMERICANorAFRICANAMERICANdoesthispersonlooklike?,selected_overall.HowHAPPYdoesthispersonlook?,unselected_overall.HowHAPPYdoesthispersonlook?,selected_overall.HowDOMINANTdoesthispersonlook?,unselected_overall.HowDOMINANTdoesthispersonlook?,selected_overall.HowATTRACTIVEdoesthispersonlook?,unselected_overall.HowATTRACTIVEdoesthispersonlook?,selected_overall.HowLIKABLEdoesthispersonlook?,unselected_overall.HowLIKABLEdoesthispersonlook?,selected_overall.HowTRUSTWORTHYdoesthispersonlook?,unselected_overall.HowTRUSTWORTHYdoesthispersonlook?,selected_overall.HowCOMPETENTdoesthispersonlook?,unselected_overall.HowCOMPETENTdoesthispersonlook?,selected_overall.HowWARMdoesthispersonlook?,unselected_overall.HowWARMdoesthispersonlook?,age,sex,race,data_use,mTurkCode
3/12/201712:28:02PM,3/12/201712:30:12PM,0,148.74.64.2,100,129,1,3/12/201712:30:14PM,R_dg4W84Ct01cizdf,,,,,40.706604,-73.35009766,anonymous,,,4,5,,,,,,,,,,,,,,,39,1,1,4,7245959728
3/12/201712:32:49PM,3/12/201712:34:03PM,0,73.64.254.133,100,73,1,3/12/201712:34:04PM,R_3lymTF2LAetJgtf,,,,,40.37759399,-76.79570007,anonymous,,,,,6,2,,,,,,,,,,,,,35,2,2,4,753293154
3/12/201712:33:47PM,3/12/201712:35:21PM,0,68.45.87.182,100,93,1,3/12/201712:35:22PM,R_29oz1UrhLuQif00,,,,,40.04069519,-86.90029907,anonymous,2,4,,,,,,,,,,,,,,,,,26,1,1,4,6634988789
3/12/201712:37:18PM,3/12/201712:38:53PM,0,97.82.106.232,100,94,1,3/12/201712:38:54PM,R_1CpQq8AKXs2JGOQ,,,,,43.21789551,-123.4020996,anonymous,,,,,,,,,,,,,,,,,1,2,47,2,1,4,7688289410
3/12/201712:39:19PM,3/12/201712:40:40PM,0,69.249.213.73,100,81,1,3/12/201712:40:41PM,R_3PLbptIEVq9YDZo,,,,,40.03259277,-75.11579895,anonymous,,,2,6,,,,,,,,,,,,,,,33,1,2,4,8912181193
3/12/201712:40:42PM,3/12/201712:42:26PM,0,100.10.51.162,100,103,1,3/12/201712:42:27PM,R_2z5Ul8NFw4RsNyK,,,,,41.69329834,-71.63950348,anonymous,1,5,,,,,,,,,,,,,,,,,29,1,1,3,8892405754
3/12/201712:42:18PM,3/12/201712:43:52PM,0,71.244.203.94,100,94,1,3/12/201712:43:53PM,R_1QG8HV2b42LluPa,,,,,39.26939392,-76.74469757,anonymous,,,,,,,,,,,5,1,,,,,,,34,2,1,4,9118626071
3/12/201712:42:29PM,3/12/201712:43:52PM,0,174.102.16.120,100,82,1,3/12/201712:43:53PM,R_1cU5068h7NpjfHO,,,,,39.6690979,-84.09020233,anonymous,,,,,,,,,,,,,,,5,3,,,43,1,1,4,1968273116
3/12/201712:43:17PM,3/12/201712:45:07PM,0,100.8.187.239,100,109,1,3/12/201712:45:08PM,R_1pVCpZuBpvKwJvY,,,,,40.69450378,-74.26899719,anonymous,1,4,,,,,,,,,,,,,,,,,53,2,1,4,3755835267
3/12/201712:44:35PM,3/12/201712:46:39PM,0,98.198.130.19,100,123,1,3/12/201712:46:40PM,R_1eXC1X3A08wd626,,,,,29.83230591,-95.37650299,anonymous,,,,,,,,,,,3,5,,,,,,,27,2,2,4,5905251363
3/12/201712:46:40PM,3/12/201712:48:36PM,0,24.136.22.184,100,115,1,3/12/201712:48:37PM,R_3g5ThFgRSx0Jq4x,,,,,41.89979553,-87.63680267,anonymous,,,,,,,,,,,,,,,2,2,,,25,1,1,4,9731213161
3/12/201712:48:24PM,3/12/201712:49:44PM,0,73.123.124.51,100,79,1,3/12/201712:49:45PM,R_1LScCctILKuyFio,,,,,37.75100708,-97.8219986,anonymous,,,,,,,4,4,,,,,,,,,,,29,2,1,3,7294071251
3/12/201712:49:12PM,3/12/201712:50:53PM,0,70.94.25.60,100,101,1,3/12/201712:50:55PM,R_1gUcDzsOFeaKvwt,,,,,38.90080261,-94.63770294,anonymous,,,,,,,,,,,,,,,,,4,1,25,1,1,4,5922138216
3/12/201712:49:54PM,3/12/201712:51:15PM,0,68.48.147.184,100,81,1,3/12/201712:51:17PM,R_2z6bSloAS7tJc56,,,,,42.96339417,-85.66809845,anonymous,,,,,,,,,,,,,5,3,,,,,36,2,1,4,864395542
3/12/201712:50:43PM,3/12/201712:51:58PM,0,98.230.118.83,100,75,1,3/12/201712:52:00PM,R_10YFYgyItyoJ03e,,,,,30.52520752,-84.33209991,anonymous,,,,,,,,,,,,,,,4,2,,,25,2,1,4,3088283423
3/12/201712:51:09PM,3/12/201712:53:32PM,0,72.226.53.89,100,142,1,3/12/201712:53:33PM,R_31yJC6BeU3XKByn,,,,,40.74819946,-73.90679932,anonymous,,,,,,,,,4,3,,,,,,,,,34,2,1,3,3272018410
3/12/201712:51:55PM,3/12/201712:54:04PM,0,108.22.62.48,100,128,1,3/12/201712:54:05PM,R_UaNgcOLTUVJWPK1,,,,,39.05430603,-76.01850128,anonymous,,,,,,,,,4,2,,,,,,,,,50,1,1,4,3548466046
3/12/201712:54:00PM,3/12/201712:56:50PM,0,104.237.86.3,100,170,1,3/12/201712:56:51PM,R_2tkYcrdVGlb9Da8,,,,,32.83340454,-96.79360199,anonymous,,,,,,,,,,,7,3,,,,,,,26,2,2,4,8757909340
3/12/201712:55:42PM,3/12/201712:57:27PM,0,24.211.26.202,100,104,1,3/12/201712:57:28PM,R_1f94P3FkK5HjGvN,,,,,43.13110352,-88.33589935,anonymous,,,,,,,,,,,,,,,,,4,2,66,2,1,4,6080861967
3/12/201712:59:39PM,3/12/20171:02:16PM,0,173.75.233.130,100,156,1,3/12/20171:02:17PM,R_1dExHTn72z2Sv5d,,,,,38.56080627,-75.33509827,anonymous,,,,,,,,,,,,,,,4,3,,,46,2,1,4,1780335824
3/12/20171:03:09PM,3/12/20171:05:02PM,0,98.31.42.125,100,112,1,3/12/20171:05:04PM,R_1djkMgKmZ3viDpD,,,,,40.10180664,-83.07299805,anonymous,,,3,3,,,,,,,,,,,,,,,23,2,5,4,9502858244
3/12/20171:04:17PM,3/12/20171:07:05PM,0,69.138.225.13,100,167,1,3/12/20171:07:06PM,R_3P5FxHq9zLreLqM,,,,,38.86000061,-77.09870148,anonymous,,,,,4,2,,,,,,,,,,,,,24,1,1,3,4805380441
3/12/20171:07:06PM,3/12/20171:08:47PM,0,100.12.43.56,100,101,1,3/12/20171:08:48PM,R_3DoxAO5iBerH9hN,,,,,40.67489624,-73.81909943,anonymous,,,,,,,,,3,2,,,,,,,,,23,2,4,4,8133274042
3/12/20171:07:28PM,3/12/20171:09:07PM,0,24.233.116.93,100,98,1,3/12/20171:09:08PM,R_1KcEDccQY1mQd6I,,,,,43.30290222,-71.04599762,anonymous,,,,,,,,,,,,,,,4,4,,,28,1,1,4,8274216531
3/12/20171:09:02PM,3/12/20171:10:38PM,0,107.12.30.51,100,95,1,3/12/20171:10:39PM,R_R2nYZxfl7eWouXL,,,,,34.73860168,-76.7677002,anonymous,,,4,5,,,,,,,,,,,,,,,28,2,3,4,5380020100
3/12/20171:12:47PM,3/12/20171:15:14PM,0,70.197.140.119,100,147,1,3/12/20171:15:15PM,R_sRNZBWKwidLCZUJ,,,,,37.05709839,-76.4618988,anonymous,,,,,,,,,4,1,,,,,,,,,35,2,1,4,1525504561
3/12/20171:18:57PM,3/12/20171:20:26PM,0,12.248.24.186,100,88,1,3/12/20171:20:27PM,R_ugpxf3HIlEeSURH,,,,,37.79570007,-122.4208984,anonymous,,,,,,,,,,,,,,,,,5,1,20,1,3,4,1423363421
3/12/20171:21:34PM,3/12/20171:23:38PM,0,70.199.192.228,100,123,1,3/12/20171:23:39PM,R_1DS79FbxU0Q6zB8,,,,,37.34829712,-79.15709686,anonymous,,,2,4,,,,,,,,,,,,,,,47,2,1,4,3332970161
3/12/20171:22:23PM,3/12/20171:24:27PM,0,216.252.196.74,100,123,1,3/12/20171:24:28PM,R_4IKAAc11KFM6sWB,,,,,37.10350037,-80.42070007,anonymous,,,,,,,5,2,,,,,,,,,,,27,1,1,4,2739814972
3/12/20171:27:33PM,3/12/20171:29:23PM,0,172.56.36.2,100,109,1,3/12/20171:29:24PM,R_1jVzQ5r75KNoAN9,,,,,40.72210693,-74.20120239,anonymous,1,2,,,,,,,,,,,,,,,,,33,2,1,4,5827998556
3/12/20171:28:10PM,3/12/20171:30:14PM,0,70.197.142.152,100,124,1,3/12/20171:30:16PM,R_25NGkDXfLrUqWdN,,,,,37.05709839,-76.4618988,anonymous,,,,,,,,,,,,,,,,,5,1,32,2,1,4,5775461383
3/12/20171:30:57PM,3/12/20171:32:24PM,0,12.156.141.225,100,86,1,3/12/20171:32:25PM,R_vlC5AGP6OcGCF0Z,,,,,33.96800232,-117.319397,anonymous,,,,,,,,,2,1,,,,,,,,,19,1,4,3,9895471460
3/12/20171:32:57PM,3/12/20171:34:37PM,0,98.193.100.14,100,100,1,3/12/20171:34:39PM,R_3HnOt37uGfLKAK4,,,,,41.97279358,-87.66159821,anonymous,1,2,,,,,,,,,,,,,,,,,31,2,1,4,5015345658
3/12/20171:37:48PM,3/12/20171:39:21PM,0,50.26.48.55,100,93,1,3/12/20171:39:22PM,R_3J2748pqSzLxu8d,,,,,35.16130066,-101.8789978,anonymous,1,4,,,,,,,,,,,,,,,,,33,1,1,4,3894829215
3/12/20171:36:18PM,3/12/20171:39:23PM,0,71.176.26.55,100,184,1,3/12/20171:39:25PM,R_1CjXYXbTnYa2GlJ,,,,,36.85690308,-76.21240234,anonymous,1,4,,,,,,,,,,,,,,,,,24,2,1,4,6678416789
3/12/20171:38:29PM,3/12/20171:39:52PM,0,23.246.89.251,100,83,1,3/12/20171:39:54PM,R_2YanxzYvxtaFwzI,,,,,40.7552948,-73.99240112,anonymous,2,3,,,,,,,,,,,,,,,,,24,2,5,4,4298237823
3/12/20171:39:30PM,3/12/20171:40:48PM,0,71.40.216.75,100,78,1,3/12/20171:40:49PM,R_RlFmsJeqkbROu65,,,,,32.83770752,-96.69850159,anonymous,,,,,,,,,,,,,,,5,1,,,26,1,1,4,365181976
3/12/20171:39:27PM,3/12/20171:41:15PM,0,107.128.117.18,100,108,1,3/12/20171:41:17PM,R_3fpDz4fJ2y2s0IU,,,,,29.7203064,-95.31390381,anonymous,,,,,,,4,2,,,,,,,,,,,20,2,3,3,9018427361
3/12/20171:43:27PM,3/12/20171:44:54PM,0,98.193.179.209,100,87,1,3/12/20171:44:55PM,R_1FnAmmKY6XgMx4v,,,,,36.06089783,-86.96089935,anonymous,,,,,,,4,3,,,,,,,,,,,27,1,2,4,5015177396
3/12/20171:44:00PM,3/12/20171:45:17PM,0,108.232.11.177,100,77,1,3/12/20171:45:19PM,R_2X6A5a6bYTlfnMO,,,,,35.71139526,-78.88619995,anonymous,,,,,,,,,,,,,5,3,,,,,51,2,1,4,3477574308
3/12/20171:44:16PM,3/12/20171:45:57PM,0,174.255.201.19,100,100,1,3/12/20171:45:58PM,R_xF1Ae1uvU7nOwX7,,,,,37.75100708,-97.8219986,anonymous,,,,,,,,,,,,,,,,,4,1,30,2,2,4,4332988183
3/12/20171:42:56PM,3/12/20171:47:11PM,0,71.237.165.36,100,255,1,3/12/20171:47:12PM,R_4ZbB5GPOLkr1YTD,,,,,45.57420349,-122.5993042,anonymous,,,,,,,5,3,,,,,,,,,,,69,2,1,4,1823151270
3/12/20171:46:30PM,3/12/20171:48:44PM,0,73.230.214.28,100,133,1,3/12/20171:48:45PM,R_sB8xMm2ajeGIlnH,,,,,39.86309814,-76.15249634,anonymous,,,,,,,,,,,,,,,,,4,3,43,2,1,4,8140803822
3/12/20171:47:46PM,3/12/20171:49:13PM,0,97.95.108.113,100,87,1,3/12/20171:49:14PM,R_2XmnP098zq6e5jc,,,,,42.26829529,-85.61669922,anonymous,,,,,,,5,3,,,,,,,,,,,20,1,1,4,8866457305
3/12/20171:56:37PM,3/12/20171:58:34PM,0,45.59.43.216,100,117,1,3/12/20171:58:35PM,R_1ozgUBKebQemggm,,,,,39.10929871,-84.62090302,anonymous,,,,,,,,,5,1,,,,,,,,,65,2,1,4,2174437340
3/12/20172:03:21PM,3/12/20172:04:57PM,0,67.180.236.168,100,96,1,3/12/20172:04:59PM,R_2SGF5U29QJXXmBZ,,,,,37.44360352,-122.4123993,anonymous,,,4,5,,,,,,,,,,,,,,,45,1,4,4,4945231280
3/12/20172:04:38PM,3/12/20172:05:40PM,0,75.188.141.50,100,61,1,3/12/20172:05:41PM,R_vlcts5Ytz6GSUcp,,,,,39.89790344,-83.38659668,anonymous,,,,,,,,,,,,,,,4,4,,,40,2,1,4,6728818775
3/12/20172:03:54PM,3/12/20172:06:26PM,0,206.255.59.163,100,151,1,3/12/20172:06:27PM,R_3JmVvyBEebJHFcD,,,,,34.41789246,-93.04930115,anonymous,,,,,4,3,,,,,,,,,,,,,27,2,1,4,7275851164
3/12/20172:05:06PM,3/12/20172:06:50PM,0,70.119.184.97,100,103,1,3/12/20172:06:52PM,R_271AklLMwKf3Zw3,,,,,33.00349426,-96.90000153,anonymous,,,,,,,,,2,2,,,,,,,,,25,2,2,4,9044547067
3/12/20172:05:51PM,3/12/20172:08:24PM,0,66.87.125.12,100,153,1,3/12/20172:08:25PM,R_1fg99rLJmy3o2lL,,,,,42.2532959,-71.12930298,anonymous,,,,,,,,,,,,,4,3,,,,,30,2,1,4,938321748
3/12/20172:07:52PM,3/12/20172:09:08PM,0,70.214.35.128,100,75,1,3/12/20172:09:09PM,R_3rZKxJewhpNjgFX,,,,,37.63909912,-120.9969025,anonymous,,,,,,,,,,,,,7,4,,,,,25,2,1,4,4209460518
3/12/20172:10:04PM,3/12/20172:12:14PM,0,73.46.164.194,100,130,1,3/12/20172:12:16PM,R_DNvD2I7LcLyYc5b,,,,,26.24420166,-80.2059021,anonymous,,,,,,,,,,,,,,,,,5,3,54,2,1,4,2372414982
3/12/20172:12:56PM,3/12/20172:14:29PM,0,71.81.201.189,100,92,1,3/12/20172:14:30PM,R_1KkY8RKKTPVWywS,,,,,35.52830505,-82.52249908,anonymous,,,,,4,1,,,,,,,,,,,,,30,2,1,4,1594446637
3/12/20172:13:21PM,3/12/20172:15:00PM,0,173.218.173.172,100,99,1,3/12/20172:15:01PM,R_3kH5m5LzOLlxDGz,,,,,35.30349731,-93.03610229,anonymous,,,,,,,,,,,,,,,,,3,1,46,2,1,4,829022136
3/12/20172:15:56PM,3/12/20172:18:29PM,0,136.63.150.212,100,152,1,3/12/20172:18:31PM,R_3hAUal9eKgWPnsz,,,,,38.9499054,-94.74530029,anonymous,,,,,,,5,3,,,,,,,,,,,28,2,4,1,8495138841
3/12/20172:19:10PM,3/12/20172:20:04PM,0,71.232.78.190,100,53,1,3/12/20172:20:05PM,R_erGmW9moon4EWSR,,,,,42.34309387,-71.1230011,anonymous,,,,,,,,,,,,,,,1,2,,,23,1,4,4,5815238599
3/12/20172:20:54PM,3/12/20172:22:58PM,0,172.56.28.5,100,123,1,3/12/20172:23:00PM,R_1lnIr6RXijAMYhU,,,,,39.99639893,-75.17089844,anonymous,,,,,,,,,,,,,3,3,,,,,26,2,2,4,316351885
3/12/20172:21:12PM,3/12/20172:23:34PM,0,98.199.92.253,100,141,1,3/12/20172:23:35PM,R_3nGwYP3GJ7lzF9a,,,,,29.64460754,-95.13739777,anonymous,,,,,,,5,1,,,,,,,,,,,50,2,3,4,8474481632
3/12/20172:22:41PM,3/12/20172:24:13PM,0,72.160.95.63,100,91,1,3/12/20172:24:14PM,R_ebNJMjaMpQoEaxH,,,,,47.10539246,-123.3975983,anonymous,,,4,5,,,,,,,,,,,,,,,30,1,1,4,9548424161
3/12/20172:24:46PM,3/12/20172:26:58PM,0,71.120.5.59,100,131,1,3/12/20172:26:59PM,R_2CxrxhZYJmaOzph,,,,,38.6257019,-77.26650238,anonymous,,,,,,,,,,,,,,,,,3,3,28,2,2,4,7811925043
3/12/20172:30:16PM,3/12/20172:32:11PM,0,173.20.30.108,100,114,1,3/12/20172:32:13PM,R_3Mth2o0VNiOhr4W,,,,,37.81799316,-89.02780151,anonymous,,,,,4,3,,,,,,,,,,,,,31,2,1,4,9996746038
3/12/20172:32:40PM,3/12/20172:34:25PM,0,68.56.140.234,100,105,1,3/12/20172:34:27PM,R_1kSIjaBff3l0J7N,,,,,42.26679993,-83.85620117,anonymous,,,,,,,,,,,,,,,,,4,3,54,2,1,4,7776730340
3/12/20172:34:31PM,3/12/20172:36:19PM,0,65.35.178.204,100,108,1,3/12/20172:36:21PM,R_2SAmbN99TvaqBQx,,,,,27.9098053,-82.78839874,anonymous,,,,,6,3,,,,,,,,,,,,,34,2,1,3,5627447092
3/12/20172:38:16PM,3/12/20172:41:15PM,0,64.91.33.130,100,178,1,3/12/20172:41:16PM,R_2OJdKRcco0Hsrb2,,,,,31.31520081,-85.85520172,anonymous,,,,,,,,,,,,,3,2,,,,,29,2,1,4,598996552
3/12/20172:42:35PM,3/12/20172:43:55PM,0,108.21.226.165,100,79,1,3/12/20172:43:57PM,R_1HjnazD4w86ZJau,,,,,40.9230957,-73.82460022,anonymous,3,4,,,,,,,,,,,,,,,,,26,2,2,4,7791983117
3/12/20172:44:47PM,3/12/20172:46:50PM,0,76.100.95.186,100,122,1,3/12/20172:46:51PM,R_24MXB2vLsWXWg3g,,,,,38.81559753,-77.04530334,anonymous,,,,,,,,,5,2,,,,,,,,,45,1,1,4,5036243987
3/12/20172:49:14PM,3/12/20172:50:46PM,0,76.168.2.240,100,91,1,3/12/20172:50:47PM,R_3nHoWGKiwR95lwk,,,,,34.32099915,-118.3829956,anonymous,,,,,,,,,,,,,,,3,2,,,27,2,3,4,6329364139
3/12/20172:53:06PM,3/12/20172:54:31PM,0,107.4.30.137,100,84,1,3/12/20172:54:32PM,R_1Fb7794AEQtMo36,,,,,42.94250488,-85.6160965,anonymous,,,,,4,2,,,,,,,,,,,,,25,1,1,4,4783044765
3/12/20172:52:44PM,3/12/20172:54:32PM,0,71.82.156.214,100,108,1,3/12/20172:54:34PM,R_3EXtFdALBioFplx,,,,,44.74569702,-91.51319885,anonymous,,,,,,,,,,,,,4,2,,,,,32,1,1,4,1780370339
3/12/20172:53:19PM,3/12/20172:55:14PM,0,162.192.135.45,100,114,1,3/12/20172:55:16PM,R_2YPMDdrOjzpveDk,,,,,41.56509399,-81.56459808,anonymous,,,,,,,5,1,,,,,,,,,,,20,1,2,4,5592221767
3/12/20172:56:20PM,3/12/20172:58:04PM,0,71.15.142.106,100,104,1,3/12/20172:58:06PM,R_2pJP4CJlcLeDLLe,,,,,36.89849854,-89.56690216,anonymous,,,,,,,,,,,,,,,,,4,1,26,2,1,4,859822971
3/12/20173:08:19PM,3/12/20173:10:32PM,0,73.229.145.169,100,132,1,3/12/20173:10:33PM,R_3nCWk8jWEHq0siC,,,,,39.73880005,-104.4083023,anonymous,,,,,,,,,,,,,,,5,4,,,39,2,4,2,9078484568
3/12/20173:08:46PM,3/12/20173:10:50PM,0,174.60.88.85,100,124,1,3/12/20173:10:51PM,R_3L7N3YpVB9pELk1,,,,,41.39880371,-76.79219818,anonymous,,,,,,,,,,,,,,,4,2,,,22,2,1,4,4962022365
3/12/20173:11:36PM,3/12/20173:13:23PM,0,74.64.84.96,100,107,1,3/12/20173:13:25PM,R_1oklz4J0pD0UN9c,,,,,41.93890381,-73.99009705,anonymous,,,,,,,,,,,,,1,2,,,,,21,2,1,4,4331188728
3/12/20173:15:26PM,3/12/20173:16:55PM,0,67.168.37.169,100,89,1,3/12/20173:16:57PM,R_3jvRfg9w3dHdAOZ,,,,,47.14579773,-122.3237,anonymous,,,,,,,,,,,4,2,,,,,,,26,2,3,3,1424387358
3/12/20173:20:27PM,3/12/20173:22:10PM,0,76.1.168.25,100,102,1,3/12/20173:22:11PM,R_1cZdTLGsOZWA2tM,,,,,26.71440125,-81.84339905,anonymous,1,4,,,,,,,,,,,,,,,,,25,2,1,3,586375026
3/12/20173:23:19PM,3/12/20173:24:39PM,0,73.232.98.137,100,79,1,3/12/20173:24:41PM,R_2VKOYCEEWLNJgPn,,,,,29.73970032,-95.8302002,anonymous,,,,,,,,,2,1,,,,,,,,,29,2,4,4,2158271261
3/12/20173:22:30PM,3/12/20173:25:00PM,0,91.192.58.76,100,150,1,3/12/20173:25:01PM,R_1nW0yuEg14QlabO,,,,,50.25840759,19.02749634,anonymous,,,,,,,,,,,,,,,,,4,4,30,2,1,4,9568253452
3/12/20173:25:12PM,3/12/20173:26:59PM,0,173.225.150.222,100,106,1,3/12/20173:27:00PM,R_2EsKcd8lr7iSZHB,,,,,45.75010681,-94.14009857,anonymous,1,4,,,,,,,,,,,,,,,,,26,2,1,3,2692135182
3/12/20173:29:12PM,3/12/20173:31:50PM,0,75.107.50.217,100,157,1,3/12/20173:31:51PM,R_1rpshKTZM9AjISZ,,,,,34.67520142,-78.05079651,anonymous,1,4,,,,,,,,,,,,,,,,,39,2,1,4,8372327545
3/12/20173:31:09PM,3/12/20173:32:37PM,0,73.10.174.91,100,87,1,3/12/20173:32:38PM,R_1jQhTTlD1sZustV,,,,,40.37559509,-74.65969849,anonymous,,,,,,,,,,,,,4,1,,,,,21,2,1,4,1092654523
3/12/20173:33:10PM,3/12/20173:34:09PM,0,67.172.237.47,100,58,1,3/12/20173:34:11PM,R_1PR7HlPuAzc0kWZ,,,,,40.88040161,-111.8233032,anonymous,,,,,,,,,,,,,,,4,2,,,25,2,1,4,8022518567
3/12/20173:38:40PM,3/12/20173:39:54PM,0,73.233.229.168,100,74,1,3/12/20173:39:55PM,R_3g5TwC2s46rvyEI,,,,,40.06359863,-75.07969666,anonymous,1,4,,,,,,,,,,,,,,,,,32,1,1,4,1367708119
3/12/20173:39:16PM,3/12/20173:41:08PM,0,74.136.203.35,100,111,1,3/12/20173:41:09PM,R_1odLblyVG9PGsFB,,,,,38.00469971,-84.53340149,anonymous,,,,,,,,,,,,,,,,,3,2,25,2,1,3,1647327436
3/12/20173:43:40PM,3/12/20173:45:35PM,0,99.54.44.228,100,114,1,3/12/20173:45:36PM,R_25X8i7Wq0WzsgGG,,,,,33.89419556,-117.3246002,anonymous,,,,,,,,,,,,,,,4,3,,,27,2,1,4,345515339
3/12/20173:44:24PM,3/12/20173:45:56PM,0,71.172.79.154,100,92,1,3/12/20173:45:58PM,R_3qrqrcVSnSO3CKZ,,,,,40.95899963,-74.49729919,anonymous,,,,,,,,,,,3,1,,,,,,,50,1,1,1,5709327687
3/12/20173:53:17PM,3/12/20173:55:00PM,0,73.175.146.178,100,102,1,3/12/20173:55:01PM,R_31LsobLuTpjcGiW,,,,,40.79750061,-77.90209961,anonymous,,,,,5,3,,,,,,,,,,,,,21,2,1,4,6569127976
3/12/20173:56:26PM,3/12/20173:59:43PM,0,75.64.27.113,100,196,1,3/12/20173:59:44PM,R_1C30KlazFuyUu7I,,,,,34.91799927,-89.82160187,anonymous,,,4,5,,,,,,,,,,,,,,,38,2,1,3,1087205001
