StartDate,EndDate,SubjectType,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,age,sex,race,t00001,t00002,t00003,t00004,t00005,t00006,t00007,t00008,t00009,t00010,t00011,t00012,t00013,t00014,t00015,t00016,t00017,t00018,t00019,t00020,t00021,t00022,t00023,t00024,t00025,t00026,t00027,t00028,t00029,t00030,t00031,t00032,t00033,t00034,t00035,t00036,t00037,t00038,t00039,t00040,t00041,t00042,t00043,t00044,t00045,t00046,t00047,t00048,t00049,t00050,t00051,t00052,t00053,t00054,t00055,t00056,t00057,t00058,t00059,t00060,t00061,t00062,t00063,t00064,t00065,t00066,t00067,t00068,t00069,t00070,t00071,t00072,t00073,t00074,t00075,t00076,t00077,t00078,t00079,t00080,t00081,t00082,t00083,t00084,t00085,t00086,t00087,t00088,t00089,t00090,t00091,t00092,t00093,t00094,t00095,t00096,t00097,t00098,t00099,t00100,t00101,t00102,t00103,t00104,t00105,t00106,t00107,t00108,t00109,t00110,t00111,t00112,t00113,t00114,t00115,t00116,t00117,t00118,t00119,t00120,t00121,t00122,t00123,t00124,t00125,t00126,t00127,t00128,t00129,t00130,t00131,t00132,t00133,t00134,t00135,t00136,t00137,t00138,t00139,t00140,t00141,t00142,t00143,t00144,t00145,t00146,t00147,t00148,t00149,t00150,t00151,t00152,t00153,t00154,t00155,t00156,t00157,t00158,t00159,t00160,t00161,t00162,t00163,t00164,t00165,t00166,t00167,t00168,t00169,t00170,t00171,t00172,t00173,t00174,t00175,t00176,t00177,t00178,t00179,t00180,t00181,t00182,t00183,t00184,t00185,t00186,t00187,t00188,t00189,t00190,t00191,t00192,t00193,t00194,t00195,t00196,t00197,t00198,t00199,t00200,t00201,t00202,t00203,t00204,t00205,t00206,t00207,t00208,t00209,t00210,t00211,t00212,t00213,t00214,t00215,t00216,t00217,t00218,t00219,t00220,t00221,t00222,t00223,t00224,t00225,t00226,t00227,t00228,t00229,t00230,t00231,t00232,t00233,t00234,t00235,t00236,t00237,t00238,t00239,t00240,t00241,t00242,t00243,t00244,t00245,t00246,t00247,t00248,t00249,t00250,t00251,t00252,t00253,t00254,t00255,t00256,t00257,t00258,t00259,t00260,t00261,t00262,t00263,t00264,t00265,t00266,t00267,t00268,t00269,t00270,t00271,t00272,t00273,t00274,t00275,t00276,t00277,t00278,t00279,t00280,t00281,t00282,t00283,t00284,t00285,t00286,t00287,t00288,t00289,t00290,t00291,t00292,t00293,t00294,t00295,t00296,t00297,t00298,t00299,t00300,data_use,mTurkCode
2/24/2017 11:40,2/24/2017 11:43,pilot,1,,100,177,1,2/24/2017 11:43,R_2QKvJGjlMKu1GGx,,,,,40.80059814,-73.96530151,preview,33,2,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,3,1429515
2/24/2017 12:18,2/24/2017 12:40,pilot,0,71.197.84.104,100,1367,1,2/24/2017 12:40,R_1GZenlAZ6C7TKXU,,,,,39.50509644,-121.6764984,anonymous,43,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,4,4824300
2/24/2017 12:20,2/24/2017 12:43,pilot,0,74.132.157.83,100,1395,1,2/24/2017 12:43,R_u2CkYuYEDXU1o4x,,,,,36.87930298,-86.45980072,anonymous,38,1,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,1,1,2,1,4,9012017
2/24/2017 12:20,2/24/2017 12:50,pilot,0,100.11.70.129,100,1846,1,2/24/2017 12:50,R_VR1Dhs6mYqdndu1,,,,,40.14419556,-74.84829712,anonymous,68,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,4,8186315
2/24/2017 12:34,2/24/2017 12:58,pilot,0,75.102.138.35,100,1464,1,2/24/2017 12:59,R_9ZDGbEGTuFMSTOF,,,,,35.74630737,-78.72389984,anonymous,19,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,4,7606060
2/24/2017 12:47,2/24/2017 13:14,pilot,0,98.249.54.167,100,1590,1,2/24/2017 13:14,R_2789jke0Ws9kobf,,,,,38.43479919,-77.98660278,anonymous,60,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,4,3707790
2/24/2017 13:30,2/24/2017 13:58,pilot,0,73.185.128.133,100,1646,1,2/24/2017 13:58,R_RsiL6C0jYYMxpNn,,,,,45.07240295,-93.18740082,anonymous,41,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,4,1887790
2/24/2017 14:05,2/24/2017 14:36,pilot,0,98.225.65.114,100,1890,1,2/24/2017 14:37,R_0VeO6QUw3dKvsMV,,,,,32.331604,-110.9849014,anonymous,26,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,1135224
2/24/2017 14:25,2/24/2017 14:40,pilot,0,63.151.141.158,100,922,1,2/24/2017 14:40,R_9MguUYsH94sOUJr,,,,,36.63549805,-88.28299713,anonymous,35,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,2,2,1,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2,1,1,1,2,1,2,4,2996150
2/24/2017 14:23,2/24/2017 14:42,pilot,0,173.218.19.153,100,1133,1,2/24/2017 14:42,R_0kZh8jW0O4LlV4J,,,,,35.78939819,-90.76280212,anonymous,26,2,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,4,5371789
2/24/2017 12:43,2/24/2017 12:43,pilot,0,72.80.33.72,0,45,0,2/24/2017 14:50,R_2Tw4ToTwLtpkp1l,,,,,,,anonymous,33,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597959
